Price (M),Brand,Model,Year,Mileage (km),Fuel type,Engine capacity (CC),Transmission
9.85,Toyota,Axio,2015,231000,Hybrid,1500,Automatic
3.65,Nissan,Sunny,1998,140000,Petrol,650,Automatic
153,Land Rover,Range Rover,2025,0,Hybrid,3000,Automatic
10.7,Toyota,Raize,2020,75000,Petrol,1000,Automatic
16.8,Toyota,Yaris Ativ,2025,0,Petrol,1200,Automatic
3.075,Nissan,Serena,1995,131999,Diesel,2000,Automatic
11.2,Toyota,Premio,2013,118000,Petrol,1500,Automatic
45,Toyota,RAV4,2026,0,Hybrid,2500,Automatic
11.6,Toyota,Corolla,2017,27000,Petrol,1300,Automatic
105,Toyota,Land Cruiser Sahara,2023,95,Diesel,3340,Automatic
45,Toyota,RAV4,2026,0,Hybrid,2500,Automatic
65,Mercedes Benz,S300,2017,49800,Hybrid,2140,Automatic
76,Toyota,Land Cruiser Sahara,2015,105000,Diesel,4461,Automatic
12.85,Mitsubishi,Montero,2011,147700,Diesel,2500,Automatic
72.5,Land Rover,Defender,2024,7000,Petrol,2000,Automatic
54.5,Land Rover,Range Rover,2018,31000,Diesel,2000,Automatic
34.5,Mercedes Benz,C200,2025,2000,Hybrid,1500,Automatic
14.39,Toyota,Raize,2025,0,Hybrid,1200,Automatic
54.5,Toyota,Land Cruiser Sahara,2015,138000,Petrol,4600,Automatic
20.39,Honda,Vezel,2025,0,Hybrid,1500,Automatic
5.5,Hyundai,Grand i10,2016,95500,Petrol,998,Tiptronic
3.075,Hyundai,Matrix,2000,168456,Petrol,1350,Automatic
17.45,Toyota,Urban Cruiser,2026,0,Hybrid,1490,Automatic
14.25,Toyota,Raize,2025,0,Hybrid,1200,Automatic
7.75,Toyota,RAV4,2008,145000,Petrol,2000,Automatic
14,Toyota,Raize,2025,0,Hybrid,1200,Automatic
18.75,Honda,Vezel,2025,0,Hybrid,1500,Automatic
31.9,Land Rover,Discovery,2015,102000,Diesel,3000,Tiptronic
8.3,Toyota,Aqua,2013,48000,Petrol,1500,Automatic
18.3,Toyota,Yaris Ativ,2025,0,Hybrid,1500,Automatic
51.85,Toyota,Land Cruiser Prado,2023,19000,Petrol,2700,Tiptronic
32.9,Ford,Raptor Ranger,2025,0,Diesel,2000,Tiptronic
4.9,Suzuki,Swift,2005,115000,Petrol,1300,Automatic
15.8,Audi,A3,2023,35000,Petrol,1000,Automatic
16,Honda,Vezel,2024,10000,Hybrid,1500,Automatic
16,Honda,Vezel,2024,29000,Hybrid,1500,Automatic
8.35,Toyota,Axio,2015,91000,Hybrid,1500,Automatic
12.265,Kia,Other Model,2025,0,Petrol,1000,Tiptronic
11.5,Kia,Other Model,2026,0,Petrol,1000,Automatic
12.5,Ford,Focus,2018,93000,Petrol,1000,Tiptronic
18.95,Toyota,Esquire,2015,104000,Hybrid,1800,Automatic
3.5,Suzuki,Wagon R,2006,62520,Petrol,1061,Manual
17.8,Honda,Vezel,2025,1000,Petrol,1500,Automatic
17.95,Honda,Vezel,2026,0,Hybrid,1500,Tiptronic
43.5,BMW,740Le,2018,27000,Petrol,2000,Automatic
18.5,Toyota,Yaris Ativ,2025,0,Hybrid,1500,Automatic
2.75,Hyundai,Elantra,1999,60200,Petrol,1599,Automatic
1.175,Mitsubishi,Lancer,1979,40000,Petrol,1400,Manual
2.475,Suzuki,Maruti,2007,70000,Petrol,800,Manual
12.6,Honda,Civic,2018,79000,Petrol,1000,Automatic
6.2,Suzuki,Swift,2010,75000,Petrol,1300,Automatic
25.8,Toyota,Hilux,2025,0,Diesel,2800,Tiptronic
13.7,Honda,City,2025,0,Petrol,1000,Tiptronic
33,Mercedes Benz,C200,2024,4000,Hybrid,1500,Automatic
6.29,Daihatsu,Mira,2023,20000,Petrol,660,Automatic
7.45,Toyota,Rush,2010,156000,Petrol,1500,Automatic
7.2,Hyundai,Tucson,2012,130000,Petrol,2000,Automatic
8.55,Hyundai,Grand i10,2025,400,Petrol,1200,Tiptronic
9.1,Suzuki,Wagon R ZX,2026,5,Hybrid,660,Automatic
12.85,Toyota,Raize,2023,9000,Petrol,1200,Automatic
2.965,Suzuki,Alto,2013,94000,Petrol,800,Manual
13.8,Toyota,Premio,2017,108000,Petrol,1500,Automatic
6.7,Toyota,Pixis,2024,6000,Petrol,660,Automatic
19.45,Honda,Vezel,2025,230,Petrol,1490,Automatic
2.635,Maruti Suzuki,800,2011,173000,Petrol,800,Manual
15.565,Toyota,Yaris Cross,2023,14200,Hybrid,1500,Automatic
8.25,Suzuki,Wagon R FX,2025,5,Hybrid,660,Automatic
8.775,Honda,Fit,2017,69600,Hybrid,1500,Automatic
10.799999,Toyota,Premio,2013,121000,Petrol,1500,Automatic
10.2,Audi,A4,2011,94188,Petrol,1800,Automatic
3.375,Honda,City,2000,200000,Petrol,1500,Automatic
21.35,Toyota,Land Cruiser Sahara,2003,74500,Diesel,4200,Manual
21.5,Toyota,Hilux,2025,33,Diesel,2800,Automatic
9.875,Toyota,Premio,2011,150000,Petrol,1500,Automatic
8.75,Toyota,Yaris,2023,51452,Petrol,990,Automatic
28.5,Toyota,Hilux,2026,0,Diesel,2755,Automatic
20.7,BMW,318i,2018,115000,Petrol,1500,Automatic
7.15,Toyota,Aqua,2014,180000,Hybrid,1500,Automatic
22,Mercedes Benz,C350,2016,75000,Hybrid,2000,Tiptronic
6.45,Toyota,Corolla,2006,137250,Petrol,1500,Automatic
30,Mercedes Benz,E180,2019,27000,Petrol,1497,Tiptronic
8.45,Suzuki,Spacia,2023,20000,Hybrid,660,Automatic
34.5,BMW,i8,2018,30000,Hybrid,1500,Automatic
3.99,Suzuki,Alto,2015,59774,Petrol,800,Manual
16.2,Toyota,Yaris Ativ,2025,0,Petrol,1200,Tiptronic
8.25,Toyota,Vitz,2019,95000,Petrol,1000,Automatic
10.7,Honda,Vezel,2015,45000,Hybrid,1500,Automatic
19.8,Mercedes Benz,S350,2011,166000,Petrol,3500,Tiptronic
7.3,Toyota,Axio,2007,183000,Petrol,1500,Automatic
5.975,Suzuki,Hustler,2016,86500,Hybrid,660,Automatic
12.7,Audi,A3,2019,117000,Petrol,1000,Automatic
8.4,Toyota,Vitz,2018,61000,Petrol,990,Automatic
54.9,Toyota,Land Cruiser Prado,2024,8700,Petrol,2700,Automatic
1.765,Suzuki,Maruti,2004,225000,Petrol,796,Manual
16.85,BMW,318i,2017,21000,Petrol,1500,Automatic
8.2,Honda,Fit,2015,90000,Petrol,1500,Automatic
11.475,Toyota,Premio,2014,116000,Petrol,1500,Automatic
14.975,Toyota,Yaris Cross,2023,13850,Hybrid,1500,Automatic
1.95,Honda,Civic,1989,180000,Petrol,1500,Manual
52.5,Toyota,Land Cruiser Prado,2023,9000,Petrol,2700,Automatic
59.5,Toyota,Alphard,2024,0,Petrol,2500,Automatic
36.5,BMW,740e,2017,35000,Petrol,2000,Automatic
19.5,Audi,A5,2018,69000,Petrol,1400,Automatic
6.675,Daihatsu,Mira,2025,0,Petrol,660,Automatic
15.5,BAIC,X55 II,2025,0,Petrol,1500,Tiptronic
6.45,Mahindra,KUV 100,2024,48000,Diesel,1200,Automatic
15.6,Mercedes Benz,E200,2010,55000,Petrol,1990,Automatic
26.5,BMW,218i,2024,5000,Petrol,1500,Automatic
19.8,Honda,Vezel,2025,0,Hybrid,1500,Automatic
8.475,Toyota,Roomy,2022,53000,Petrol,1000,Automatic
7.25,Suzuki,Wagon R,2023,11000,Petrol,660,Automatic
8.9,Toyota,Allion,2008,166000,Petrol,1500,Automatic
15.4,Volkswagen,T-Cross,2024,7900,Petrol,1000,Automatic
13.8,Mitsubishi,Outlander,2016,154000,Petrol,2400,Tiptronic
18.4,Honda,Vezel,2024,9500,Hybrid,1500,Automatic
9.995,Toyota,Yaris,2024,6000,Petrol,1000,Automatic
12.95,Toyota,Raize,2025,4800,Hybrid,1200,Automatic
13.9,Volkswagen,Polo,2024,14000,Petrol,1000,Automatic
8.75,Suzuki,Swift,2018,66000,Petrol,1000,Automatic
13.75,Toyota,Premio,2016,95000,Petrol,1500,Automatic
16.9,BMW,523i,2010,100000,Petrol,2500,Automatic
5.95,Nissan,Navara,2007,260000,Diesel,2500,Manual
7.225,Toyota,Aqua,2014,103000,Hybrid,1500,Automatic
15.5,Peugeot,5008,2018,68500,Petrol,1200,Automatic
28.8,Toyota,Land Cruiser Prado,2011,188000,Diesel,3000,Automatic
6.99,Daihatsu,Mira,2024,19000,Petrol,660,Automatic
